row.names,geneid,genesymbol
253,ENSG00000269978.1,RP11-338N10.3
254,ENSG00000049245.8,VAMP3
255,ENSG00000269925.1,RP3-467L1.6
256,ENSG00000049246.10,PER3
257,ENSG00000236266.1,RP3-467L1.4
258,ENSG00000049247.9,UTS2
259,ENSG00000049249.4,TNFRSF9
260,ENSG00000270330.1,RP5-892F13.2
261,ENSG00000116288.8,PARK7
262,ENSG00000200344.1,Y_RNA
263,ENSG00000116285.8,ERRFI1
264,ENSG00000238290.1,RP11-431K24.1
265,ENSG00000232848.1,CTA-215D11.4
266,ENSG00000229305.1,RP11-431K24.2
267,ENSG00000200975.1,RNU1-7P
268,ENSG00000227634.1,RP11-431K24.3
269,ENSG00000233645.1,RP11-431K24.4
270,ENSG00000265414.1,RN7SL729P
271,ENSG00000251977.1,RNU6-991P
272,ENSG00000162426.10,SLC45A1
273,ENSG00000252254.1,Y_RNA
274,ENSG00000142599.13,RERE
275,ENSG00000232912.1,RP5-1115A15.1
276,ENSG00000221083.1,SNORA77
277,ENSG00000270282.1,RP5-1115A15.2
278,ENSG00000234619.1,RP4-633I8.1
279,ENSG00000224315.2,RP4-633I8.2
280,ENSG00000222511.1,Y_RNA
281,ENSG00000226545.1,RP4-633I8.3
282,ENSG00000228423.2,RP4-633I8.4
283,ENSG00000229716.2,RP11-185B14.1
284,ENSG00000074800.9,ENO1
285,ENSG00000236269.1,ENO1-IT1
286,ENSG00000230679.1,ENO1-AS1
287,ENSG00000201725.1,RNU6-304P
288,ENSG00000238249.1,HMGN2P17
289,ENSG00000232208.2,RP3-477M7.5
290,ENSG00000232663.2,RP3-477M7.6
291,ENSG00000131686.10,CA6
292,ENSG00000265141.1,RN7SL451P
293,ENSG00000197241.3,SLC2A7
294,ENSG00000142583.13,SLC2A5
295,ENSG00000252404.1,SCARNA16
296,ENSG00000180758.10,GPR157
297,ENSG00000207865.1,MIR34A
298,ENSG00000228526.2,RP3-510D11.1
299,ENSG00000234546.2,RP3-510D11.2
300,ENSG00000049239.8,H6PD
301,ENSG00000252841.1,Z98044.1
302,ENSG00000171621.9,SPSB1
303,ENSG00000252956.1,RNA5SP40
304,ENSG00000235263.1,RP13-392I16.1
305,ENSG00000171612.6,SLC25A33
306,ENSG00000231181.1,RP13-15M17.1
307,ENSG00000188807.8,TMEM201
308,ENSG00000171608.11,PIK3CD
309,ENSG00000179840.5,C1orf200
310,ENSG00000233268.3,RP11-558F24.2
311,ENSG00000231789.2,RP11-558F24.4
312,ENSG00000171603.12,CLSTN1
313,ENSG00000271264.1,RP11-558F24.6
314,ENSG00000178585.10,CTNNBIP1
315,ENSG00000162441.7,LZIC
316,ENSG00000228150.1,RP11-84A14.4
317,ENSG00000173614.9,NMNAT1
318,ENSG00000202415.1,RN7SKP269
319,ENSG00000265521.1,MIR5697
320,ENSG00000162444.11,RBP7
321,ENSG00000225786.2,AL590639.1
322,ENSG00000130939.14,UBE4B
323,ENSG00000224340.1,RP11-496H15.2
324,ENSG00000233623.2,PGAM1P11
325,ENSG00000201746.1,RNU6-828P
326,ENSG00000054523.12,KIF1B
327,ENSG00000264881.1,MIR1273D
328,ENSG00000199562.1,RNU6-37P
329,ENSG00000265945.1,RN7SL721P
330,ENSG00000142657.16,PGD
331,ENSG00000271989.1,RP4-736L20.3
332,ENSG00000175279.17,APITD1
333,ENSG00000241563.2,CORT
334,ENSG00000160049.7,DFFA
335,ENSG00000142655.8,PEX14
336,ENSG00000243267.2,RN7SL614P
337,ENSG00000130940.10,CASZ1
338,ENSG00000272078.1,RP4-734G22.3
339,ENSG00000225158.2,RP11-340B24.3
340,ENSG00000175262.10,C1orf127
341,ENSG00000215785.2,CFL1P6
342,ENSG00000264181.1,AL713997.1
343,ENSG00000207213.1,Y_RNA
344,ENSG00000120948.11,TARDBP
345,ENSG00000009724.12,MASP2
346,ENSG00000271895.1,RP4-635E18.8
347,ENSG00000116649.5,SRM
348,ENSG00000171824.9,EXOSC10
349,ENSG00000226849.1,RP4-635E18.7
350,ENSG00000230337.1,RP4-635E18.6
351,ENSG00000198793.8,MTOR
352,ENSG00000225602.1,MTOR-AS1
353,ENSG00000253086.1,RNU6-537P
354,ENSG00000271794.1,snoU13
355,ENSG00000171819.4,ANGPTL7
356,ENSG00000207451.1,RNU6-291P
357,ENSG00000238173.1,RPL39P6
358,ENSG00000120942.9,UBIAD1
359,ENSG00000238199.1,UBE2V2P3
